Quarter,YOY (%),index,Percentage Change
Q3 1979,1,^HSI,1
Q4 1979,1,^HSI,1
Q1 1980,1,^HSI,1
Q2 1980,1,^HSI,1
Q3 1980,1,^HSI,1
Q4 1980,1,^HSI,1
Q1 1981,1,^HSI,1
Q2 1981,1,^HSI,1
Q3 1981,1,^HSI,1
Q4 1981,1,^HSI,1
Q1 1982,1,^HSI,1
Q2 1982,1,^HSI,1
Q3 1982,1,^HSI,1
Q4 1982,1,^HSI,0.5
Q1 1983,0,^HSI,0
Q2 1983,0,^HSI,0
Q3 1983,0,^HSI,0
Q4 1983,0,^HSI,0
Q1 1984,0,^HSI,0
Q2 1984,0,^HSI,0.25
Q3 1984,1,^HSI,1
Q4 1984,1,^HSI,1
Q1 1985,1,^HSI,1
Q2 1985,1,^HSI,1
Q3 1985,1,^HSI,1
Q4 1985,1,^HSI,1
Q1 1986,1,^HSI,1
Q2 1986,1,^HSI,1
Q3 1986,1,^HSI,1
Q4 1986,1,^HSI,1
Q1 1987,1,^HSI,0.75
Q2 1987,0,^HSI,0
Q3 1987,0,^HSI,0
Q4 1987,0,^HSI,0
Q1 1988,0,^HSI,0
Q2 1988,0,^HSI,0
Q3 1988,0,^HSI,0
Q4 1988,0,^HSI,0
Q1 1989,0,^HSI,0
Q2 1989,0,^HSI,0.5
Q3 1989,1,^HSI,1
Q4 1989,1,^HSI,1
Q1 1990,1,^HSI,1
Q2 1990,1,^HSI,1
Q3 1990,1,^HSI,1
Q4 1990,1,^HSI,1
Q1 1991,1,^HSI,1
Q2 1991,1,^HSI,1
Q3 1991,1,^HSI,0.75
Q4 1991,0,^HSI,0
Q1 1992,0,^HSI,0
Q2 1992,0,^HSI,0
Q3 1992,0,^HSI,0
Q4 1992,0,^HSI,0
Q1 1993,0,^HSI,0
Q2 1993,0,^HSI,0
Q3 1993,0,^HSI,0
Q4 1993,0,^HSI,0
Q1 1994,0,^HSI,0
Q2 1994,0,^HSI,0
Q3 1994,0,^HSI,0.5
Q4 1994,1,^HSI,1
Q1 1995,1,^HSI,1
Q2 1995,1,^HSI,1
Q3 1995,1,^HSI,1
Q4 1995,1,^HSI,0.75
Q1 1996,0,^HSI,0
Q2 1996,0,^HSI,0
Q3 1996,0,^HSI,0
Q4 1996,0,^HSI,0
Q1 1997,0,^HSI,0
Q2 1997,0,^HSI,0
Q3 1997,0,^HSI,0
Q4 1997,0,^HSI,0
Q1 1998,0,^HSI,0
Q2 1998,0,^HSI,0
Q3 1998,0,^HSI,0
Q4 1998,0,^HSI,0
Q1 1999,0,^HSI,0
Q2 1999,0,^HSI,0
Q3 1999,0,^HSI,0
Q4 1999,0,^HSI,0
Q1 2000,0,^HSI,0
Q2 2000,0,^HSI,0.75
Q3 2000,1,^HSI,1
Q4 2000,1,^HSI,1
Q1 2001,1,^HSI,1
Q2 2001,1,^HSI,1
Q3 2001,1,^HSI,1
Q4 2001,1,^HSI,1
Q1 2002,1,^HSI,1
Q2 2002,1,^HSI,1
Q3 2002,1,^HSI,1
Q4 2002,1,^HSI,1
Q1 2003,1,^HSI,0.5
Q2 2003,0,^HSI,0
Q3 2003,0,^HSI,0
Q4 2003,0,^HSI,0
Q1 2004,0,^HSI,0
Q2 2004,0,^HSI,0
Q3 2004,0,^HSI,0
Q4 2004,0,^HSI,0
Q1 2005,0,^HSI,0
Q2 2005,0,^HSI,0
Q3 2005,0,^HSI,0
Q4 2005,0,^HSI,0
Q1 2006,0,^HSI,0
Q2 2006,0,^HSI,0
Q3 2006,0,^HSI,0
Q4 2006,0,^HSI,0
Q1 2007,0,^HSI,0
Q2 2007,0,^HSI,0
Q3 2007,0,^HSI,0
Q4 2007,0,^HSI,0.75
Q1 2008,1,^HSI,1
Q2 2008,1,^HSI,1
Q3 2008,1,^HSI,1
Q4 2008,1,^HSI,1
Q1 2009,1,^HSI,1
Q2 2009,1,^HSI,0.5
Q3 2009,0,^HSI,0
Q4 2009,0,^HSI,0
Q1 2010,0,^HSI,0
Q2 2010,0,^HSI,0
Q3 2010,0,^HSI,0
Q4 2010,0,^HSI,0
Q1 2011,0,^HSI,0
Q2 2011,0,^HSI,0
Q3 2011,0,^HSI,0
