Date,Value
1/4/1962,1
1/5/1962,1
1/6/1962,1
1/7/1962,1
1/8/1962,1
1/9/1962,1
1/10/1962,1
1/11/1962,1
1/12/1962,1
1/1/1963,1
1/2/1963,1
1/3/1963,1
1/4/1963,0
1/5/1963,0
1/6/1963,0
1/7/1963,0
1/8/1963,0
1/9/1963,0
1/10/1963,0
1/11/1963,0
1/12/1963,0
1/1/1964,0
1/2/1964,0
1/3/1964,0
1/4/1964,0
1/5/1964,0
1/6/1964,0
1/7/1964,0
1/8/1964,0
1/9/1964,0
1/10/1964,0
1/11/1964,0
1/12/1964,0
1/1/1965,0
1/2/1965,0
1/3/1965,0
1/4/1965,0
1/5/1965,0
1/6/1965,0
1/7/1965,0
1/8/1965,0
1/9/1965,0
1/10/1965,0
1/11/1965,0
1/12/1965,0
1/1/1966,0
1/2/1966,0
1/3/1966,1
1/4/1966,1
1/5/1966,1
1/6/1966,1
1/7/1966,1
1/8/1966,1
1/9/1966,1
1/10/1966,1
1/11/1966,1
1/12/1966,1
1/1/1967,1
1/2/1967,1
1/3/1967,1
1/4/1967,1
1/5/1967,1
1/6/1967,1
1/7/1967,1
1/8/1967,1
1/9/1967,1
1/10/1967,0
1/11/1967,0
1/12/1967,0
1/1/1968,0
1/2/1968,0
1/3/1968,0
1/4/1968,0
1/5/1968,0
1/6/1968,0
1/7/1968,0
1/8/1968,0
1/9/1968,0
1/10/1968,0
1/11/1968,0
1/12/1968,0
1/1/1969,0
1/2/1969,0
1/3/1969,1
1/4/1969,1
1/5/1969,1
1/6/1969,1
1/7/1969,1
1/8/1969,1
1/9/1969,1
1/10/1969,1
1/11/1969,1
1/12/1969,1
1/1/1970,1
1/2/1970,1
1/3/1970,1
1/4/1970,1
1/5/1970,1
1/6/1970,1
1/7/1970,1
1/8/1970,1
1/9/1970,1
1/10/1970,1
1/11/1970,1
1/12/1970,0
1/1/1971,0
1/2/1971,0
1/3/1971,0
1/4/1971,0
1/5/1971,0
1/6/1971,0
1/7/1971,0
1/8/1971,0
1/9/1971,0
1/10/1971,0
1/11/1971,0
1/12/1971,0
1/1/1972,0
1/2/1972,0
1/3/1972,0
1/4/1972,0
1/5/1972,0
1/6/1972,0
1/7/1972,0
1/8/1972,0
1/9/1972,0
1/10/1972,0
1/11/1972,0
1/12/1972,0
1/1/1973,0
1/2/1973,0
1/3/1973,0
1/4/1973,0
1/5/1973,1
1/6/1973,1
1/7/1973,1
1/8/1973,1
1/9/1973,1
1/10/1973,1
1/11/1973,1
1/12/1973,1
1/1/1974,1
1/2/1974,1
1/3/1974,1
1/4/1974,1
1/5/1974,1
1/6/1974,1
1/7/1974,1
1/8/1974,1
1/9/1974,1
1/10/1974,1
1/11/1974,1
1/12/1974,1
1/1/1975,1
1/2/1975,1
1/3/1975,1
1/4/1975,1
1/5/1975,0
1/6/1975,0
1/7/1975,0
1/8/1975,0
1/9/1975,0
1/10/1975,0
1/11/1975,0
1/12/1975,0
1/1/1976,0
1/2/1976,0
1/3/1976,0
1/4/1976,0
1/5/1976,0
1/6/1976,0
1/7/1976,0
1/8/1976,0
1/9/1976,0
1/10/1976,0
1/11/1976,0
1/12/1976,0
1/1/1977,0
1/2/1977,0
1/3/1977,0
1/4/1977,0
1/5/1977,0
1/6/1977,0
1/7/1977,0
1/8/1977,0
1/9/1977,0
1/10/1977,0
1/11/1977,0
1/12/1977,0
1/1/1978,0
1/2/1978,0
1/3/1978,0
1/4/1978,0
1/5/1978,0
1/6/1978,0
1/7/1978,0
1/8/1978,0
1/9/1978,0
1/10/1978,0
1/11/1978,1
1/12/1978,1
1/1/1979,1
1/2/1979,1
1/3/1979,1
1/4/1979,1
1/5/1979,1
1/6/1979,1
1/7/1979,1
1/8/1979,1
1/9/1979,1
1/10/1979,1
1/11/1979,1
1/12/1979,1
1/1/1980,1
1/2/1980,1
1/3/1980,1
1/4/1980,1
1/5/1980,1
1/6/1980,1
1/7/1980,1
1/8/1980,1
1/9/1980,1
1/10/1980,1
1/11/1980,1
1/12/1980,1
1/1/1981,1
1/2/1981,1
1/3/1981,1
1/4/1981,1
1/5/1981,1
1/6/1981,1
1/7/1981,1
1/8/1981,1
1/9/1981,1
1/10/1981,1
1/11/1981,1
1/12/1981,1
1/1/1982,1
1/2/1982,1
1/3/1982,1
1/4/1982,1
1/5/1982,1
1/6/1982,1
1/7/1982,1
1/8/1982,1
1/9/1982,1
1/10/1982,1
1/11/1982,1
1/12/1982,0
1/1/1983,0
1/2/1983,0
1/3/1983,0
1/4/1983,0
1/5/1983,0
1/6/1983,0
1/7/1983,0
1/8/1983,0
1/9/1983,0
1/10/1983,0
1/11/1983,0
1/12/1983,0
1/1/1984,0
1/2/1984,0
1/3/1984,0
1/4/1984,0
1/5/1984,0
1/6/1984,0
1/7/1984,1
1/8/1984,1
1/9/1984,1
1/10/1984,1
1/11/1984,1
1/12/1984,1
1/1/1985,1
1/2/1985,1
1/3/1985,1
1/4/1985,1
1/5/1985,1
1/6/1985,1
1/7/1985,1
1/8/1985,1
1/9/1985,1
1/10/1985,1
1/11/1985,1
1/12/1985,1
1/1/1986,1
1/2/1986,1
1/3/1986,1
1/4/1986,1
1/5/1986,1
1/6/1986,1
1/7/1986,1
1/8/1986,1
1/9/1986,1
1/10/1986,1
1/11/1986,1
1/12/1986,1
1/1/1987,1
1/2/1987,1
1/3/1987,1
1/4/1987,0
1/5/1987,0
1/6/1987,0
1/7/1987,0
1/8/1987,0
1/9/1987,0
1/10/1987,0
1/11/1987,0
1/12/1987,0
1/1/1988,0
1/2/1988,0
1/3/1988,0
1/4/1988,0
1/5/1988,0
1/6/1988,0
1/7/1988,0
1/8/1988,0
1/9/1988,0
1/10/1988,0
1/11/1988,0
1/12/1988,0
1/1/1989,0
1/2/1989,0
1/3/1989,0
1/4/1989,0
1/5/1989,0
1/6/1989,1
1/7/1989,1
1/8/1989,1
1/9/1989,1
1/10/1989,1
1/11/1989,1
1/12/1989,1
1/1/1990,1
1/2/1990,1
1/3/1990,1
1/4/1990,1
1/5/1990,1
1/6/1990,1
1/7/1990,1
1/8/1990,1
1/9/1990,1
1/10/1990,1
1/11/1990,1
1/12/1990,1
1/1/1991,1
1/2/1991,1
1/3/1991,1
1/4/1991,1
1/5/1991,1
1/6/1991,1
1/7/1991,1
1/8/1991,1
1/9/1991,1
1/10/1991,0
1/11/1991,0
1/12/1991,0
1/1/1992,0
1/2/1992,0
1/3/1992,0
1/4/1992,0
1/5/1992,0
1/6/1992,0
1/7/1992,0
1/8/1992,0
1/9/1992,0
1/10/1992,0
1/11/1992,0
1/12/1992,0
1/1/1993,0
1/2/1993,0
1/3/1993,0
1/4/1993,0
1/5/1993,0
1/6/1993,0
1/7/1993,0
1/8/1993,0
1/9/1993,0
1/10/1993,0
1/11/1993,0
1/12/1993,0
1/1/1994,0
1/2/1994,0
1/3/1994,0
1/4/1994,0
1/5/1994,0
1/6/1994,0
1/7/1994,0
1/8/1994,0
1/9/1994,1
1/10/1994,1
1/11/1994,1
1/12/1994,1
1/1/1995,1
1/2/1995,1
1/3/1995,1
1/4/1995,1
1/5/1995,1
1/6/1995,1
1/7/1995,1
1/8/1995,1
1/9/1995,1
1/10/1995,1
1/11/1995,1
1/12/1995,1
1/1/1996,0
1/2/1996,0
1/3/1996,0
1/4/1996,0
1/5/1996,0
1/6/1996,0
1/7/1996,0
1/8/1996,0
1/9/1996,0
1/10/1996,0
1/11/1996,0
1/12/1996,0
1/1/1997,0
1/2/1997,0
1/3/1997,0
1/4/1997,0
1/5/1997,0
1/6/1997,0
1/7/1997,0
1/8/1997,0
1/9/1997,0
1/10/1997,0
1/11/1997,0
1/12/1997,0
1/1/1998,0
1/2/1998,0
1/3/1998,0
1/4/1998,0
1/5/1998,0
1/6/1998,0
1/7/1998,0
1/8/1998,0
1/9/1998,0
1/10/1998,0
1/11/1998,0
1/12/1998,0
1/1/1999,0
1/2/1999,0
1/3/1999,0
1/4/1999,0
1/5/1999,0
1/6/1999,0
1/7/1999,0
1/8/1999,0
1/9/1999,0
1/10/1999,0
1/11/1999,0
1/12/1999,0
1/1/2000,0
1/2/2000,0
1/3/2000,0
1/4/2000,0
1/5/2000,1
1/6/2000,1
1/7/2000,1
1/8/2000,1
1/9/2000,1
1/10/2000,1
1/11/2000,1
1/12/2000,1
1/1/2001,1
1/2/2001,1
1/3/2001,1
1/4/2001,1
1/5/2001,1
1/6/2001,1
1/7/2001,1
1/8/2001,1
1/9/2001,1
1/10/2001,1
1/11/2001,1
1/12/2001,1
1/1/2002,1
1/2/2002,1
1/3/2002,1
1/4/2002,1
1/5/2002,1
1/6/2002,1
1/7/2002,1
1/8/2002,1
1/9/2002,1
1/10/2002,1
1/11/2002,1
1/12/2002,1
1/1/2003,1
1/2/2003,1
1/3/2003,0
1/4/2003,0
1/5/2003,0
1/6/2003,0
1/7/2003,0
1/8/2003,0
1/9/2003,0
1/10/2003,0
1/11/2003,0
1/12/2003,0
1/1/2004,0
1/2/2004,0
1/3/2004,0
1/4/2004,0
1/5/2004,0
1/6/2004,0
1/7/2004,0
1/8/2004,0
1/9/2004,0
1/10/2004,0
1/11/2004,0
1/12/2004,0
1/1/2005,0
1/2/2005,0
1/3/2005,0
1/4/2005,0
1/5/2005,0
1/6/2005,0
1/7/2005,0
1/8/2005,0
1/9/2005,0
1/10/2005,0
1/11/2005,0
1/12/2005,0
1/1/2006,0
1/2/2006,0
1/3/2006,0
1/4/2006,0
1/5/2006,0
1/6/2006,0
1/7/2006,0
1/8/2006,0
1/9/2006,0
1/10/2006,0
1/11/2006,0
1/12/2006,0
1/1/2007,0
1/2/2007,0
1/3/2007,0
1/4/2007,0
1/5/2007,0
1/6/2007,0
1/7/2007,0
1/8/2007,0
1/9/2007,0
1/10/2007,0
1/11/2007,1
1/12/2007,1
1/1/2008,1
1/2/2008,1
1/3/2008,1
1/4/2008,1
1/5/2008,1
1/6/2008,1
1/7/2008,1
1/8/2008,1
1/9/2008,1
1/10/2008,1
1/11/2008,1
1/12/2008,1
1/1/2009,1
1/2/2009,1
1/3/2009,1
1/4/2009,1
1/5/2009,1
1/6/2009,0
1/7/2009,0
1/8/2009,0
1/9/2009,0
1/10/2009,0
1/11/2009,0
1/12/2009,0
1/1/2010,0
1/2/2010,0
1/3/2010,0
1/4/2010,0
1/5/2010,0
1/6/2010,0
1/7/2010,0
1/8/2010,0
1/9/2010,0
1/10/2010,0
1/11/2010,0
1/12/2010,0
1/1/2011,0
1/2/2011,0
1/3/2011,0
1/4/2011,0
1/5/2011,0
1/6/2011,0
1/7/2011,0
1/8/2011,0
1/9/2011,0
1/10/2011,0
1/11/2011,0
1/12/2011,0
1/1/2012,0
1/2/2012,0
1/3/2012,0
1/4/2012,1
1/5/2012,1
1/6/2012,1
1/7/2012,1
1/8/2012,1
1/9/2012,1
1/10/2012,1
1/11/2012,1
1/12/2012,1
1/1/2013,1
1/2/2013,1
1/3/2013,1
1/4/2013,1
1/5/2013,1
1/6/2013,1
1/7/2013,1
1/8/2013,1
1/9/2013,1
1/10/2013,1
1/11/2013,1
1/12/2013,1
1/1/2014,1
1/2/2014,1
1/3/2014,0
1/4/2014,0
1/5/2014,0
1/6/2014,0
1/7/2014,0
1/8/2014,0
1/9/2014,0
1/10/2014,0
1/11/2014,0
1/12/2014,0
1/1/2015,0
1/2/2015,0
1/3/2015,1
1/4/2015,1
1/5/2015,1
1/6/2015,1
1/7/2015,1
1/8/2015,1
1/9/2015,1
1/10/2015,1
1/11/2015,1
1/12/2015,1
1/1/2016,1
1/2/2016,1
1/3/2016,1
1/4/2016,1
1/5/2016,1
1/6/2016,1
1/7/2016,1
1/8/2016,1
1/9/2016,1
1/10/2016,1
1/11/2016,1
1/12/2016,1
1/1/2017,1
1/2/2017,1
1/3/2017,1
1/4/2017,0
1/5/2017,0
1/6/2017,0
1/7/2017,0
1/8/2017,0
1/9/2017,0
1/10/2017,0
1/11/2017,0
1/12/2017,0
1/1/2018,0
1/2/2018,0
1/3/2018,0
1/4/2018,0
1/5/2018,0
1/6/2018,0
1/7/2018,0
1/8/2018,0
1/9/2018,0
1/10/2018,0
1/11/2018,0
1/12/2018,0
1/1/2019,0
1/2/2019,0
1/3/2019,0
1/4/2019,0
1/5/2019,0
1/6/2019,0
1/7/2019,0
1/8/2019,0
1/9/2019,0
1/10/2019,0
1/11/2019,0
1/12/2019,0
1/1/2020,1
1/2/2020,1
1/3/2020,1
1/4/2020,1
1/5/2020,1
1/6/2020,0
1/7/2020,0
1/8/2020,0
1/9/2020,0
1/10/2020,0
1/11/2020,0
1/12/2020,0
1/1/2021,0
1/2/2021,0
1/3/2021,0
1/4/2021,0
1/5/2021,0
1/6/2021,0
1/7/2021,0
1/8/2021,0
1/9/2021,0
1/10/2021,0
1/11/2021,0
1/12/2021,0
1/1/2022,0
1/2/2022,0
1/3/2022,0
1/4/2022,0
1/5/2022,0
1/6/2022,0
1/7/2022,0
1/8/2022,0
1/9/2022,0
